kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
220599328,https://kolesa.kz/a/show/220599328?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1221,2026-06-11 12:11:47.553405+03:00,Chevrolet,Cobalt,"    2011 - н.в. 2 поколение
",2021,"Астана, Акмолинская область",Седан,бензин,1.5,145113,Автомат,Передний привод,Слева,черный,Да,25,4490000,220599328.webp,https://kolesa-photos.kcdn.online/webp/de/de4f42ac-dd9c-4c86-976b-a1cf4d8e9988/12-750x470.webp,True
222486528,https://kolesa.kz/a/show/222486528?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1222,2026-06-11 12:11:59.858484+03:00,Chevrolet,Monza,"    2022 - н.в. 2 поколение рестайлинг
",2023,"Астана, Акмолинская область",Седан,бензин,1.5,20000,Робот,Передний привод,Слева,серый металлик,Да,6,6400000,222486528.webp,https://kolesa-photos.kcdn.online/webp/c1/c19d0e73-edc8-4a50-bfcb-a1f55b29d23e/2-750x470.webp,True
218695550,https://kolesa.kz/a/show/218695550?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1223,2026-06-11 12:12:12.664183+03:00,Chevrolet,Captiva,"    2018 - н.в. 2 поколение
",2021,"Алматы, Алматинская область",Внедорожник,бензин,1.5,85024,Автомат,Передний привод,Слева,серый,Да,27,7150000,218695550.webp,https://kolesa-photos.kcdn.online/webp/55/5518b983-8e87-4960-b59c-a1aa3ecc1f8c/1-750x470.webp,True
220471159,https://kolesa.kz/a/show/220471159?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1224,2026-06-11 12:12:28.093064+03:00,Chevrolet,Cruze,"    2012 - 2015 J300 рестайлинг
",2013,"Алматы, Алматинская область",Хэтчбек,бензин,1.8,146000,Автомат,Передний привод,Слева,серебристый,Да,8,4400000,220471159.webp,https://kolesa-photos.kcdn.online/webp/bb/bb2609aa-0722-4cc4-be79-a1cd1290a6a7/6-750x470.webp,True
214781208,https://kolesa.kz/a/show/214781208?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1225,2026-06-11 12:12:44.777117+03:00,Chevrolet,Aveo,"    2006 - 2012 T250 рестайлинг (T250/T255)
",2007,"Астана, Акмолинская область",Седан,бензин,1.4,216000,Автомат,Передний привод,Слева,unknown,Да,10,2450000,214781208.webp,https://kolesa-photos.kcdn.online/webp/bb/bb06b485-7c0d-474e-9571-a15a7caf7f5c/11-750x470.webp,True
222346737,https://kolesa.kz/a/show/222346737?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1226,2026-06-11 12:12:59.161952+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2022,"Кызылорда, Кызылординская область",Седан,бензин,1.5,124000,Автомат,Передний привод,Слева,серебристый металлик,Да,14,5200000,222346737.webp,https://kolesa-photos.kcdn.online/webp/1c/1c185cda-5f30-48dc-8f39-a1f2901ef53f/3-750x470.webp,True
222200660,https://kolesa.kz/a/show/222200660?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1227,2026-06-11 12:13:14.644957+03:00,Chevrolet,Cruze,"    2012 - 2015 J300 рестайлинг
",2013,"Астана, Акмолинская область",Седан,бензин,1.8,180,Автомат,Передний привод,Слева,unknown,Да,10,2900000,222200660.webp,https://kolesa-photos.kcdn.online/webp/e4/e4b5447f-94dc-4eab-9d2e-a1ef5f37fa11/9-750x470.webp,True
218828449,https://kolesa.kz/a/show/218828449?fromUserSearch=1&search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1228,2026-06-11 12:13:29.865304+03:00,Chevrolet,Nexia,"    2020 - н.в. 1 поколение
",2021,"Павлодар, Павлодарская область",Седан,бензин,1.5,104845,Механика,Передний привод,Слева,синий,Да,29,3190000,218828449.webp,https://kolesa-photos.kcdn.online/webp/b0/b0aafc35-500b-42ea-8956-a1acbb969770/24-750x470.webp,True
222504331,https://kolesa.kz/a/show/222504331?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1229,2026-06-11 12:13:43.586902+03:00,Chevrolet,Malibu,"    2015 - 2018 9 поколение
",2016,"Алматы, Алматинская область",Седан,бензин,1.5,150000,Автомат,Передний привод,Слева,черный,Да,10,6000000,222504331.webp,https://kolesa-photos.kcdn.online/webp/c5/c552697d-3372-43ed-8c21-a1f5a22391e9/4-750x470.webp,True
215558933,https://kolesa.kz/a/show/215558933?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1230,2026-06-11 12:13:56.216836+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2023,"Алматы, Алматинская область",Седан,бензин,1.5,17000,Автомат,Передний привод,Слева,серебристый металлик,Да,7,4900000,215558933.webp,https://kolesa-photos.kcdn.online/webp/0c/0cd9de9f-7424-45c3-9999-a16bac238310/36-750x470.webp,True
221579434,https://kolesa.kz/a/show/221579434?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1231,2026-06-11 12:14:09.495502+03:00,Chevrolet,Cobalt,"    2011 - н.в. 2 поколение
",2025,"Астана, Акмолинская область",Седан,бензин,1.5,30000,Автомат,Передний привод,Слева,серый металлик,Да,8,5800000,221579434.webp,https://kolesa-photos.kcdn.online/webp/f9/f9f69d1a-e95d-4b03-aa8b-a1e2f0876912/1-750x470.webp,True
222591684,https://kolesa.kz/a/show/222591684?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1232,2026-06-11 12:14:21.298196+03:00,Chevrolet,Cobalt,"    2011 - н.в. 2 поколение
",2022,"Астана, Акмолинская область",Седан,бензин,1.5,132000,Автомат,Передний привод,Слева,синий металлик,Да,12,4600000,222591684.webp,https://kolesa-photos.kcdn.online/webp/69/69f3bad3-02f0-49b9-b769-a1f78df89875/3-750x470.webp,True
219007062,https://kolesa.kz/a/show/219007062?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1233,2026-06-11 12:14:35.091393+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2022,"Актобе, Актюбинская область",Седан,бензин,1.5,120000,Автомат,Передний привод,Слева,белый,Да,7,4900000,219007062.webp,https://kolesa-photos.kcdn.online/webp/ae/ae936180-faea-4f25-bea7-a1b06a72f969/4-750x470.webp,True
168846325,https://kolesa.kz/a/show/168846325?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1234,2026-06-11 12:14:49.901484+03:00,Chevrolet,Camaro,"    2009 - 2013 5 поколение
",2012,"Актобе, Актюбинская область",Кабриолет,бензин,3.6,150000,Автомат,Задний привод,Слева,красный металлик,Да,9,12200000,168846325.webp,https://kolesa-photos.kcdn.online/webp/f8/f8b31c8c-6253-4086-bd95-9bc9c6db8464/2-750x470.webp,True
222824621,https://kolesa.kz/a/show/222824621?search_id=f0e67cea628ed72d4882f1b5da0dbab3f470733d&search_type=filter&advert_position=1235,2026-06-11 12:15:04.856907+03:00,Chevrolet,Lacetti,"    2013 - 2024 1 поколение рестайлинг
",2023,"Шымкент, Туркестанская область",Седан,бензин,1.5,26000,Автомат,Передний привод,Слева,белый,Да,6,6000000,222824621.webp,https://kolesa-photos.kcdn.online/webp/df/df7cd125-a07d-4f0b-b21a-a1fce9b51997/1-750x470.webp,True
